Country,Total Cases,Cases,Total Deaths,Deaths,Total Recovered,Serious,Tested,Date
Indonesia,2092,106,191.0,10,150.0,0.0,7896.0,2020-04-07
Thailand,2067,89,20.0,1,674.0,23.0,23669.0,2020-04-07
Finland,1882,267,25.0,5,300.0,72.0,29000.0,2020-04-07
Peru,1746,151,73.0,12,914.0,88.0,17841.0,2020-04-07
Mexico,1688,178,60.0,10,633.0,1.0,15668.0,2020-04-07
Greece,1673,60,68.0,5,78.0,92.0,22437.0,2020-04-07
Panama,1673,0,41.0,0,13.0,50.0,7333.0,2020-04-07
Serbia,1624,148,44.0,5,54.0,89.0,6401.0,2020-04-07
South Africa,1585,80,9.0,0,95.0,7.0,53937.0,2020-04-07
UAE,1505,241,10.0,1,125.0,2.0,220000.0,2020-04-07
Dominican Republic,1488,0,68.0,0,16.0,147.0,4200.0,2020-04-07
Argentina,1451,98,43.0,1,279.0,0.0,8488.0,2020-04-07
Iceland,1417,53,4.0,0,396.0,12.0,23640.0,2020-04-07
Colombia,1406,139,32.0,7,85.0,50.0,23706.0,2020-04-07
Qatar,1325,250,3.0,0,109.0,37.0,31951.0,2020-04-07
Algeria,1251,80,130.0,25,90.0,0.0,3359.0,2020-04-07
Ukraine,1225,153,32.0,5,25.0,16.0,5040.0,2020-04-07
Singapore,1189,75,6.0,1,297.0,24.0,39000.0,2020-04-07
Croatia,1126,47,12.0,4,119.0,39.0,9833.0,2020-04-07
Egypt,1070,85,71.0,5,241.0,0.0,25000.0,2020-04-07
Estonia,1039,78,13.0,1,59.0,20.0,19091.0,2020-04-07
Slovenia,977,43,22.0,2,79.0,31.0,27109.0,2020-04-07
New Zealand,950,82,1.0,0,127.0,1.0,33116.0,2020-04-07
Morocco,919,128,59.0,11,66.0,1.0,4321.0,2020-04-07
Iraq,878,58,56.0,2,259.0,0.0,0.0,2020-04-07
Hong Kong,862,17,4.0,0,173.0,8.0,90000.0,2020-04-07
Lithuania,771,75,11.0,2,7.0,11.0,21376.0,2020-04-07
Armenia,770,34,7.0,0,43.0,30.0,3994.0,2020-04-07
Moldova,752,161,12.0,4,29.0,65.0,681.0,2020-04-07
Diamond Princess,712,0,11.0,0,619.0,10.0,0.0,2020-04-07
Bahrain,688,16,4.0,0,423.0,3.0,39379.0,2020-04-07
Hungary,678,55,32.0,6,58.0,17.0,19424.0,2020-04-07
Bosnia and Herzegovina,624,45,21.0,4,30.0,4.0,5349.0,2020-04-07
Cameroon,555,46,9.0,1,17.0,0.0,0.0,2020-04-07
Tunisia,553,58,18.0,0,5.0,26.0,6485.0,2020-04-07
Kazakhstan,531,67,5.0,2,36.0,6.0,316.0,2020-04-07
Azerbaijan,521,78,5.0,0,32.0,17.0,35000.0,2020-04-07
Lebanon,520,12,17.0,0,54.0,27.0,9022.0,2020-04-07
Latvia,509,16,1.0,0,1.0,3.0,19380.0,2020-04-07
Bulgaria,503,18,17.0,3,34.0,26.0,566.0,2020-04-07
North Macedonia,483,53,17.0,5,20.0,11.0,4920.0,2020-04-07
Kuwait,479,62,1.0,1,93.0,17.0,0.0,2020-04-07
Slovakia,471,21,1.0,0,10.0,3.0,13631.0,2020-04-07
Andorra,466,27,17.0,1,21.0,12.0,0.0,2020-04-07
Belarus,440,89,5.0,1,53.0,11.0,32000.0,2020-04-07
Costa Rica,435,19,2.0,0,13.0,13.0,4654.0,2020-04-07
Cyprus,426,30,11.0,0,33.0,11.0,10154.0,2020-04-07
Uruguay,386,0,5.0,1,86.0,13.0,4786.0,2020-04-07
Taiwan,355,7,5.0,0,50.0,0.0,36304.0,2020-04-07
Réunion,334,13,0.0,0,40.0,4.0,0.0,2020-04-07
Albania,333,29,20.0,3,99.0,7.0,2247.0,2020-04-07
Jordan,323,13,5.0,0,74.0,5.0,239.0,2020-04-07
Burkina Faso,318,16,16.0,0,66.0,0.0,0.0,2020-04-07
Afghanistan,299,18,7.0,1,10.0,0.0,0.0,2020-04-07
Cuba,288,19,6.0,0,15.0,11.0,3342.0,2020-04-07
Oman,277,25,2.0,1,61.0,3.0,0.0,2020-04-07
Uzbekistan,266,39,2.0,0,25.0,8.0,0.0,2020-04-07
Honduras,264,42,15.0,0,3.0,10.0,0.0,2020-04-07
Channel Islands,262,30,5.0,1,13.0,0.0,0.0,2020-04-07
San Marino,259,8,32.0,0,27.0,14.0,586.0,2020-04-07
Ivory Coast,245,27,1.0,0,25.0,0.0,0.0,2020-04-07
Vietnam,240,1,0.0,0,90.0,3.0,75458.0,2020-04-07
Senegal,219,12,2.0,1,72.0,1.0,195.0,2020-04-07
Palestine,217,23,1.0,0,21.0,0.0,7553.0,2020-04-07
Nigeria,214,4,4.0,0,25.0,2.0,4000.0,2020-04-07
Malta,213,11,0.0,0,2.0,3.0,9703.0,2020-04-07
Ghana,205,0,5.0,0,31.0,2.0,0.0,2020-04-07
Montenegro,201,27,2.0,0,1.0,4.0,1456.0,2020-04-07
Mauritius,196,10,7.0,0,7.0,1.0,0.0,2020-04-07
Faeroe Islands,181,2,0.0,0,93.0,2.0,4800.0,2020-04-07
Sri Lanka,166,7,5.0,1,27.0,5.0,0.0,2020-04-07
Georgia,162,7,1.0,1,36.0,6.0,0.0,2020-04-07
Venezuela,155,2,7.0,0,52.0,6.0,1779.0,2020-04-07
DRC,148,0,16.0,0,3.0,0.0,0.0,2020-04-07
Martinique,145,2,3.0,0,27.0,22.0,0.0,2020-04-07
Niger,144,24,8.0,3,0.0,0.0,4012.0,2020-04-07
Kyrgyzstan,144,14,1.0,0,9.0,5.0,9618.0,2020-04-07
Bolivia,139,7,10.0,1,1.0,3.0,591.0,2020-04-07
Brunei,135,1,1.0,0,66.0,3.0,7801.0,2020-04-07
Guadeloupe,134,4,7.0,0,24.0,14.0,0.0,2020-04-07
Mayotte,134,6,2.0,0,14.0,3.0,479.0,2020-04-07
Kenya,126,4,4.0,0,4.0,2.0,2201.0,2020-04-07
Isle of Man,126,12,1.0,0,0.0,0.0,1319.0,2020-04-07
Cambodia,114,0,0.0,0,50.0,1.0,5768.0,2020-04-07
Guinea,111,38,0.0,0,5.0,0.0,0.0,2020-04-07
Trinidad and Tobago,103,5,6.0,0,1.0,0.0,736.0,2020-04-07
Rwanda,102,13,0.0,0,0.0,0.0,0.0,2020-04-07
Gibraltar,98,3,0.0,0,52.0,0.0,1269.0,2020-04-07
Paraguay,96,4,3.0,0,12.0,2.0,1289.0,2020-04-07
Liechtenstein,77,2,1.0,1,0.0,0.0,900.0,2020-04-07
Bangladesh,70,9,8.0,2,30.0,1.0,2086.0,2020-04-07
Madagascar,70,0,0.0,0,0.0,6.0,0.0,2020-04-07
Monaco,66,2,1.0,0,3.0,2.0,0.0,2020-04-07
Aruba,64,2,0.0,0,1.0,0.0,863.0,2020-04-07
Guatemala,61,11,2.0,1,15.0,1.0,0.0,2020-04-07
French Guiana,61,4,0.0,0,22.0,1.0,0.0,2020-04-07
El Salvador,56,10,3.0,0,2.0,4.0,0.0,2020-04-07
Jamaica,53,0,3.0,0,7.0,0.0,540.0,2020-04-07
Barbados,52,1,0.0,0,0.0,0.0,382.0,2020-04-07
Djibouti,50,1,0.0,0,8.0,0.0,0.0,2020-04-07
Uganda,48,0,0.0,0,0.0,0.0,2629.0,2020-04-07
Macao,44,2,0.0,0,10.0,0.0,0.0,2020-04-07
Mali,41,2,3.0,0,1.0,0.0,0.0,2020-04-07
Togo,41,1,3.0,0,17.0,0.0,0.0,2020-04-07
French Polynesia,40,1,0.0,0,0.0,1.0,583.0,2020-04-07
Zambia,39,0,1.0,0,2.0,0.0,619.0,2020-04-07
Ethiopia,38,3,0.0,0,4.0,1.0,1222.0,2020-04-07
Cayman Islands,35,6,1.0,0,1.0,0.0,319.0,2020-04-07
Bermuda,35,0,0.0,0,14.0,0.0,272.0,2020-04-07
Eritrea,29,7,0.0,0,0.0,0.0,0.0,2020-04-07
Bahamas,28,4,4.0,1,0.0,1.0,0.0,2020-04-07
Saint Martin,24,2,2.0,1,5.0,6.0,18.0,2020-04-07
Guyana,23,0,4.0,0,0.0,0.0,83.0,2020-04-07
Sint Maarten,23,0,4.0,0,6.0,0.0,82.0,2020-04-07
Congo,22,0,2.0,0,2.0,0.0,0.0,2020-04-07
Gabon,21,0,1.0,0,1.0,0.0,0.0,2020-04-07
Myanmar,21,1,1.0,0,0.0,0.0,0.0,2020-04-07
Tanzania,20,0,1.0,0,3.0,0.0,0.0,2020-04-07
Haiti,20,2,0.0,0,1.0,0.0,200.0,2020-04-07
Maldives,19,0,0.0,0,13.0,0.0,0.0,2020-04-07
Libya,18,1,1.0,0,0.0,0.0,131.0,2020-04-07
Guinea-Bissau,18,3,0.0,0,0.0,0.0,0.0,2020-04-07
New Caledonia,17,0,0.0,0,1.0,0.0,1390.0,2020-04-07
Syria,16,0,2.0,0,2.0,0.0,0.0,2020-04-07
Benin,16,0,0.0,0,2.0,0.0,0.0,2020-04-07
Equatorial Guinea,16,0,0.0,0,1.0,0.0,0.0,2020-04-07
Antigua and Barbuda,15,0,0.0,0,0.0,1.0,40.0,2020-04-07
Dominica,14,0,0.0,0,0.0,0.0,255.0,2020-04-07
Mongolia,14,0,0.0,0,2.0,0.0,0.0,2020-04-07
Namibia,14,0,0.0,0,3.0,0.0,301.0,2020-04-07
Saint Lucia,14,1,0.0,0,1.0,0.0,0.0,2020-04-07
Fiji,12,5,0.0,0,0.0,0.0,0.0,2020-04-07
Grenada,12,0,0.0,0,0.0,2.0,45.0,2020-04-07
Curaçao,11,0,1.0,0,5.0,0.0,0.0,2020-04-07
Greenland,11,1,0.0,0,3.0,0.0,542.0,2020-04-07
Angola,10,2,2.0,0,2.0,0.0,0.0,2020-04-07
Sudan,10,0,2.0,0,2.0,0.0,0.0,2020-04-07
Liberia,10,3,1.0,1,3.0,0.0,0.0,2020-04-07
Suriname,10,0,1.0,0,0.0,0.0,0.0,2020-04-07
Laos,10,0,0.0,0,0.0,0.0,437.0,2020-04-07
Mozambique,10,0,0.0,0,1.0,0.0,338.0,2020-04-07
Seychelles,10,0,0.0,0,0.0,0.0,0.0,2020-04-07
MS Zaandam,9,0,2.0,0,0.0,0.0,0.0,2020-04-07
Zimbabwe,9,0,1.0,0,0.0,0.0,316.0,2020-04-07
Nepal,9,3,0.0,0,1.0,0.0,1521.0,2020-04-07
Chad,9,1,0.0,0,0.0,0.0,0.0,2020-04-07
Saint Kitts and Nevis,9,0,0.0,0,0.0,0.0,113.0,2020-04-07
Eswatini,9,0,0.0,0,0.0,0.0,0.0,2020-04-07
CAR,8,0,0.0,0,0.0,0.0,0.0,2020-04-07
Cabo Verde,7,1,1.0,0,0.0,0.0,0.0,2020-04-07
Vatican City,7,0,0.0,0,0.0,0.0,0.0,2020-04-07
St. Vincent Grenadines,7,0,0.0,0,1.0,0.0,0.0,2020-04-07
Somalia,7,0,0.0,0,1.0,0.0,0.0,2020-04-07
Mauritania,6,0,1.0,0,2.0,0.0,67.0,2020-04-07
Montserrat,6,0,0.0,0,0.0,0.0,0.0,2020-04-07
St. Barth,6,0,0.0,0,1.0,0.0,0.0,2020-04-07
Nicaragua,5,0,1.0,0,0.0,0.0,0.0,2020-04-07
Bhutan,5,0,0.0,0,2.0,0.0,0.0,2020-04-07
Turks and Caicos,5,0,0.0,0,0.0,0.0,0.0,2020-04-07
Botswana,4,0,1.0,0,0.0,0.0,175.0,2020-04-07
Gambia,4,0,1.0,0,2.0,0.0,0.0,2020-04-07
Belize,4,0,0.0,0,0.0,0.0,25.0,2020-04-07
Malawi,4,1,0.0,0,0.0,0.0,0.0,2020-04-07
Sierra Leone,4,2,0.0,0,0.0,0.0,2.0,2020-04-07
Anguilla,3,0,0.0,0,0.0,0.0,0.0,2020-04-07
British Virgin Islands,3,0,0.0,0,0.0,0.0,0.0,2020-04-07
Burundi,3,0,0.0,0,0.0,0.0,2.0,2020-04-07
Caribbean Netherlands,2,0,0.0,0,0.0,0.0,10.0,2020-04-07
Falkland Islands,1,0,0.0,0,0.0,0.0,0.0,2020-04-07
Papua New Guinea,1,0,0.0,0,0.0,0.0,72.0,2020-04-07
Timor-Leste,1,0,0.0,0,0.0,0.0,0.0,2020-04-07
China,81639,0,3326.0,0,76755.0,331.0,0.0,2020-04-07
Total:,1199064,82403,64650.0,5476,246166.0,42324.0,0.0,2020-04-07
World,1116662,101566,59174.0,5997,228589.0,39391.0,0.0,2020-04-08
China,81639,19,3326.0,4,76755.0,331.0,0.0,2020-04-08
USA,277161,32284,7404.0,1328,12283.0,5787.0,698344.0,2020-04-08
Italy,119827,4585,14681.0,766,19758.0,4068.0,429526.0,2020-04-08
Spain,119199,7134,11198.0,850,30513.0,6416.0,355000.0,2020-04-08
Germany,91159,6365,1275.0,168,24575.0,3936.0,483295.0,2020-04-08
France,82165,23060,6507.0,1120,14008.0,6662.0,101046.0,2020-04-08
Iran,53183,2715,3294.0,134,17935.0,4035.0,80000.0,2020-04-08
UK,38168,4450,3605.0,684,135.0,163.0,173784.0,2020-04-08
Turkey,20921,2786,425.0,69,484.0,1251.0,141716.0,2020-04-08
Switzerland,19606,779,591.0,55,4846.0,348.0,111000.0,2020-04-08
Belgium,16770,1422,1143.0,132,2872.0,1205.0,18360.0,2020-04-08
Netherlands,15723,1026,1487.0,148,250.0,1324.0,46810.0,2020-04-08
Canada,12375,1092,208.0,35,2186.0,120.0,261975.0,2020-04-08
Austria,11524,395,168.0,10,2022.0,245.0,98343.0,2020-04-08
S. Korea,10062,86,174.0,5,6021.0,55.0,421547.0,2020-04-08
Portugal,9886,852,246.0,37,68.0,245.0,52086.0,2020-04-08
Brazil,9194,1150,363.0,39,127.0,296.0,45708.0,2020-04-08
Israel,7428,571,40.0,4,403.0,113.0,37586.0,2020-04-08
Sweden,6131,563,358.0,50,205.0,469.0,24500.0,2020-04-08
Australia,5454,140,28.0,3,585.0,85.0,275000.0,2020-04-08
Norway,5370,223,59.0,9,32.0,96.0,98587.0,2020-04-08
Ireland,4273,424,120.0,22,25.0,148.0,17992.0,2020-04-08
Czechia,4190,332,53.0,9,72.0,77.0,67281.0,2020-04-08
Russia,4149,601,34.0,4,281.0,8.0,575000.0,2020-04-08
Denmark,3757,371,139.0,16,1193.0,153.0,30448.0,2020-04-08
Chile,3737,333,22.0,4,427.0,31.0,32096.0,2020-04-08
Poland,3383,437,71.0,14,56.0,50.0,66938.0,2020-04-08
Ecuador,3368,205,145.0,25,65.0,100.0,8251.0,2020-04-08
Malaysia,3333,217,53.0,3,827.0,108.0,47723.0,2020-04-08
Romania,3183,445,133.0,18,283.0,83.0,31657.0,2020-04-08
India,3059,516,86.0,14,192.0,0.0,47951.0,2020-04-08
Philippines,3018,385,136.0,29,52.0,1.0,4727.0,2020-04-08
Japan,2935,318,69.0,6,514.0,60.0,32497.0,2020-04-08
Pakistan,2686,265,40.0,6,126.0,10.0,14748.0,2020-04-08
Luxembourg,2612,125,31.0,1,500.0,33.0,21463.0,2020-04-08
Saudi Arabia,2039,154,25.0,4,351.0,41.0,0.0,2020-04-08
Indonesia,1986,196,181.0,11,134.0,0.0,6396.0,2020-04-08
Thailand,1978,103,19.0,4,612.0,23.0,17829.0,2020-04-08
Panama,1673,198,41.0,4,10.0,50.0,6582.0,2020-04-08
Finland,1615,97,20.0,1,300.0,72.0,24200.0,2020-04-08
Greece,1613,69,63.0,10,78.0,92.0,0.0,2020-04-08
Peru,1595,181,61.0,6,537.0,51.0,16518.0,2020-04-08
Mexico,1510,132,50.0,13,633.0,1.0,8552.0,2020-04-08
South Africa,1505,43,9.0,4,95.0,7.0,50361.0,2020-04-08
Dominican Republic,1488,108,68.0,8,16.0,147.0,0.0,2020-04-08
Serbia,1476,305,39.0,8,54.0,81.0,5756.0,2020-04-08
Iceland,1364,45,4.0,0,309.0,12.0,20930.0,2020-04-08
Argentina,1353,88,42.0,6,266.0,0.0,6277.0,2020-04-08
Colombia,1267,106,25.0,6,55.0,50.0,21129.0,2020-04-08
UAE,1264,240,9.0,1,108.0,2.0,220000.0,2020-04-08
Algeria,1171,185,105.0,19,62.0,0.0,3359.0,2020-04-08
Singapore,1114,65,5.0,1,282.0,24.0,39000.0,2020-04-08
Croatia,1079,68,8.0,1,92.0,39.0,6404.0,2020-04-08
Qatar,1075,126,3.0,0,93.0,37.0,28413.0,2020-04-08
Ukraine,1072,175,27.0,5,22.0,16.0,3178.0,2020-04-08
Egypt,985,120,66.0,8,216.0,0.0,0.0,2020-04-08
Estonia,961,103,12.0,1,48.0,16.0,18290.0,2020-04-08
Slovenia,934,37,20.0,3,70.0,31.0,25921.0,2020-04-08
New Zealand,868,71,1.0,0,103.0,1.0,23481.0,2020-04-08
Hong Kong,845,43,4.0,0,173.0,8.0,0.0,2020-04-08
Iraq,820,48,54.0,0,226.0,0.0,0.0,2020-04-08
Morocco,791,83,48.0,4,57.0,1.0,3910.0,2020-04-08
Armenia,736,73,7.0,0,43.0,30.0,3258.0,2020-04-08
Diamond Princess,712,0,11.0,0,619.0,10.0,0.0,2020-04-08
Lithuania,696,47,9.0,0,7.0,11.0,18432.0,2020-04-08
Bahrain,672,29,4.0,0,382.0,3.0,37996.0,2020-04-08
Hungary,623,38,26.0,5,43.0,17.0,17769.0,2020-04-08
Moldova,591,86,8.0,2,26.0,65.0,169.0,2020-04-08
Bosnia and Herzegovina,579,46,17.0,1,27.0,4.0,2220.0,2020-04-08
Cameroon,509,203,8.0,1,17.0,0.0,0.0,2020-04-08
Lebanon,508,14,17.0,1,50.0,26.0,7828.0,2020-04-08
Tunisia,495,40,18.0,4,5.0,26.0,5736.0,2020-04-08
Latvia,493,35,1.0,1,1.0,3.0,18198.0,2020-04-08
Bulgaria,485,28,14.0,4,30.0,21.0,566.0,2020-04-08
Kazakhstan,464,29,3.0,0,29.0,6.0,316.0,2020-04-08
Slovakia,450,24,1.0,0,10.0,3.0,11742.0,2020-04-08
Azerbaijan,443,43,5.0,0,32.0,7.0,35000.0,2020-04-08
Andorra,439,11,16.0,1,16.0,12.0,0.0,2020-04-08
North Macedonia,430,46,12.0,1,20.0,8.0,4506.0,2020-04-08
Kuwait,417,75,0.0,0,82.0,16.0,0.0,2020-04-08
Costa Rica,416,20,2.0,0,11.0,13.0,3498.0,2020-04-08
Cyprus,396,40,11.0,1,28.0,11.0,9447.0,2020-04-08
Uruguay,386,36,4.0,0,86.0,13.0,4786.0,2020-04-08
Belarus,351,47,4.0,0,53.0,11.0,32000.0,2020-04-08
Taiwan,348,9,5.0,0,50.0,0.0,30777.0,2020-04-08
Réunion,321,13,0.0,0,40.0,3.0,0.0,2020-04-08
Jordan,310,11,5.0,0,58.0,5.0,239.0,2020-04-08
Albania,304,27,17.0,1,89.0,7.0,2031.0,2020-04-08
Burkina Faso,302,14,16.0,0,50.0,0.0,0.0,2020-04-08
Afghanistan,281,8,6.0,0,10.0,0.0,0.0,2020-04-08
Cuba,269,36,6.0,0,15.0,8.0,3342.0,2020-04-08
Oman,252,21,1.0,0,57.0,3.0,0.0,2020-04-08
San Marino,251,6,32.0,2,26.0,13.0,586.0,2020-04-08
Vietnam,239,6,0.0,0,85.0,3.0,35808.0,2020-04-08
Channel Islands,232,39,4.0,1,13.0,0.0,0.0,2020-04-08
Uzbekistan,227,22,2.0,0,25.0,8.0,0.0,2020-04-08
Honduras,222,3,15.0,1,3.0,10.0,0.0,2020-04-08
Ivory Coast,218,24,1.0,0,19.0,0.0,0.0,2020-04-08
Nigeria,210,26,4.0,2,25.0,0.0,0.0,2020-04-08
Senegal,207,12,1.0,0,66.0,1.0,195.0,2020-04-08
Ghana,205,1,5.0,0,31.0,2.0,0.0,2020-04-08
Malta,202,6,0.0,0,2.0,2.0,9043.0,2020-04-08
Palestine,194,33,1.0,0,21.0,0.0,7553.0,2020-04-08
Mauritius,186,17,7.0,0,0.0,1.0,0.0,2020-04-08
Faeroe Islands,179,2,0.0,0,91.0,1.0,4653.0,2020-04-08
Montenegro,174,30,2.0,0,1.0,4.0,1006.0,2020-04-08
Sri Lanka,159,8,4.0,0,24.0,5.0,0.0,2020-04-08
Georgia,155,21,0.0,0,28.0,6.0,0.0,2020-04-08
Venezuela,153,7,7.0,2,52.0,6.0,0.0,2020-04-08
DRC,148,14,16.0,3,3.0,0.0,0.0,2020-04-08
Martinique,143,5,3.0,0,27.0,18.0,0.0,2020-04-08
Brunei,134,1,1.0,0,65.0,3.0,7566.0,2020-04-08
Bolivia,132,9,9.0,1,1.0,3.0,191.0,2020-04-08
Guadeloupe,130,2,7.0,1,24.0,14.0,0.0,2020-04-08
Kyrgyzstan,130,14,1.0,1,6.0,5.0,9618.0,2020-04-08
Mayotte,128,12,2.0,1,10.0,3.0,479.0,2020-04-08
Kenya,122,12,4.0,1,4.0,2.0,2201.0,2020-04-08
Niger,120,22,5.0,0,0.0,0.0,3729.0,2020-04-08
Isle of Man,114,19,1.0,0,0.0,0.0,1230.0,2020-04-08
Cambodia,114,4,0.0,0,35.0,1.0,5768.0,2020-04-08
Trinidad and Tobago,98,4,6.0,1,1.0,0.0,705.0,2020-04-08
Gibraltar,95,7,0.0,0,46.0,0.0,1136.0,2020-04-08
Paraguay,92,15,3.0,0,6.0,2.0,116.0,2020-04-08
Rwanda,89,5,0.0,0,0.0,0.0,0.0,2020-04-08
Liechtenstein,75,0,0.0,0,0.0,0.0,900.0,2020-04-08
Guinea,73,21,0.0,0,2.0,0.0,0.0,2020-04-08
Madagascar,70,11,0.0,0,0.0,6.0,0.0,2020-04-08
Monaco,64,4,1.0,0,3.0,2.0,0.0,2020-04-08
Aruba,62,2,0.0,0,1.0,0.0,836.0,2020-04-08
Bangladesh,61,5,6.0,0,26.0,1.0,2086.0,2020-04-08
French Guiana,57,6,0.0,0,22.0,1.0,0.0,2020-04-08
Jamaica,53,6,3.0,0,7.0,0.0,292.0,2020-04-08
Barbados,51,5,0.0,0,0.0,0.0,0.0,2020-04-08
Guatemala,50,3,1.0,0,12.0,1.0,0.0,2020-04-08
Djibouti,49,9,0.0,0,8.0,0.0,0.0,2020-04-08
Uganda,48,3,0.0,0,0.0,0.0,0.0,2020-04-08
El Salvador,46,5,3.0,1,0.0,4.0,0.0,2020-04-08
Macao,42,1,0.0,0,10.0,0.0,0.0,2020-04-08
Togo,40,1,3.0,1,17.0,0.0,0.0,2020-04-08
Mali,39,3,3.0,0,0.0,0.0,0.0,2020-04-08
Zambia,39,0,1.0,0,2.0,0.0,619.0,2020-04-08
French Polynesia,39,2,0.0,0,0.0,1.0,554.0,2020-04-08
Bermuda,35,0,0.0,0,14.0,0.0,272.0,2020-04-08
Ethiopia,35,6,0.0,0,3.0,2.0,1222.0,2020-04-08
Cayman Islands,29,1,1.0,0,1.0,0.0,265.0,2020-04-08
Bahamas,24,0,3.0,2,0.0,1.0,0.0,2020-04-08
Guyana,23,4,4.0,0,0.0,0.0,83.0,2020-04-08
Sint Maarten,23,5,4.0,3,6.0,0.0,82.0,2020-04-08
Congo,22,0,2.0,0,2.0,0.0,0.0,2020-04-08
Saint Martin,22,0,1.0,0,2.0,0.0,18.0,2020-04-08
Eritrea,22,0,0.0,0,0.0,0.0,0.0,2020-04-08
Gabon,21,0,1.0,0,1.0,0.0,0.0,2020-04-08
Myanmar,20,0,1.0,0,0.0,0.0,0.0,2020-04-08
Tanzania,20,0,1.0,0,3.0,0.0,0.0,2020-04-08
Maldives,19,0,0.0,0,13.0,0.0,0.0,2020-04-08
Haiti,18,2,0.0,0,1.0,0.0,200.0,2020-04-08
New Caledonia,18,0,0.0,0,1.0,0.0,1390.0,2020-04-08
Libya,17,6,1.0,0,0.0,0.0,131.0,2020-04-08
Syria,16,0,2.0,0,0.0,0.0,0.0,2020-04-08
Benin,16,3,0.0,0,2.0,0.0,0.0,2020-04-08
Equatorial Guinea,16,1,0.0,0,1.0,0.0,0.0,2020-04-08
Antigua and Barbuda,15,6,0.0,0,0.0,1.0,9.0,2020-04-08
Guinea-Bissau,15,6,0.0,0,0.0,0.0,0.0,2020-04-08
Dominica,14,2,0.0,0,0.0,0.0,0.0,2020-04-08
Mongolia,14,0,0.0,0,2.0,0.0,0.0,2020-04-08
Namibia,14,0,0.0,0,3.0,0.0,301.0,2020-04-08
Saint Lucia,13,0,0.0,0,1.0,0.0,0.0,2020-04-08
Grenada,12,2,0.0,0,0.0,2.0,45.0,2020-04-08
Curaçao,11,0,1.0,0,3.0,0.0,0.0,2020-04-08
Sudan,10,2,2.0,0,2.0,0.0,0.0,2020-04-08
Suriname,10,0,1.0,1,0.0,0.0,0.0,2020-04-08
Greenland,10,0,0.0,0,3.0,0.0,542.0,2020-04-08
Laos,10,0,0.0,0,0.0,0.0,437.0,2020-04-08
Mozambique,10,0,0.0,0,0.0,0.0,0.0,2020-04-08
Seychelles,10,0,0.0,0,0.0,0.0,0.0,2020-04-08
MS Zaandam,9,0,2.0,0,0.0,0.0,0.0,2020-04-08
Zimbabwe,9,0,1.0,0,0.0,0.0,316.0,2020-04-08
Saint Kitts and Nevis,9,0,0.0,0,0.0,0.0,113.0,2020-04-08
Eswatini,9,0,0.0,0,0.0,0.0,0.0,2020-04-08
Angola,8,0,2.0,0,1.0,0.0,0.0,2020-04-08
CAR,8,5,0.0,0,0.0,0.0,0.0,2020-04-08
Chad,8,0,0.0,0,0.0,0.0,0.0,2020-04-08
Fiji,7,0,0.0,0,0.0,0.0,0.0,2020-04-08
Vatican City,7,0,0.0,0,0.0,0.0,0.0,2020-04-08
Liberia,7,1,0.0,0,0.0,0.0,0.0,2020-04-08
St. Vincent Grenadines,7,5,0.0,0,1.0,0.0,0.0,2020-04-08
Somalia,7,2,0.0,0,1.0,0.0,0.0,2020-04-08
Cabo Verde,6,0,1.0,0,0.0,0.0,0.0,2020-04-08
Mauritania,6,0,1.0,0,2.0,0.0,0.0,2020-04-08
Nepal,6,0,0.0,0,1.0,0.0,1184.0,2020-04-08
Montserrat,6,1,0.0,0,0.0,0.0,0.0,2020-04-08
St. Barth,6,0,0.0,0,1.0,0.0,0.0,2020-04-08
Nicaragua,5,0,1.0,0,0.0,0.0,0.0,2020-04-08
Bhutan,5,0,0.0,0,2.0,0.0,0.0,2020-04-08
Turks and Caicos,5,0,0.0,0,0.0,0.0,0.0,2020-04-08
Botswana,4,0,1.0,0,0.0,0.0,175.0,2020-04-08
Gambia,4,0,1.0,0,2.0,0.0,0.0,2020-04-08
Belize,4,1,0.0,0,0.0,0.0,25.0,2020-04-08
Anguilla,3,0,0.0,0,0.0,0.0,0.0,2020-04-08
British Virgin Islands,3,0,0.0,0,0.0,0.0,0.0,2020-04-08
Burundi,3,0,0.0,0,0.0,0.0,2.0,2020-04-08
Malawi,3,0,0.0,0,0.0,0.0,0.0,2020-04-08
Caribbean Netherlands,2,0,0.0,0,0.0,0.0,10.0,2020-04-08
Sierra Leone,2,0,0.0,0,0.0,0.0,2.0,2020-04-08
Falkland Islands,1,1,0.0,0,0.0,0.0,0.0,2020-04-08
Papua New Guinea,1,0,0.0,0,0.0,0.0,0.0,2020-04-08
Timor-Leste,1,0,0.0,0,0.0,0.0,0.0,2020-04-08
Total:,1116662,101566,59174.0,5997,228589.0,39391.0,0.0,2020-04-08
World,1270916,69433,69383.0,4693,261325.0,45614.0,0.0,2020-04-09
USA,336131,24774,9602.0,1151,17245.0,8702.0,1758694.0,2020-04-09
Spain,131646,5478,12641.0,694,38080.0,6861.0,355000.0,2020-04-09
Italy,128948,4316,15887.0,525,21815.0,3977.0,691461.0,2020-04-09
Germany,100123,4031,1584.0,140,28700.0,3936.0,918460.0,2020-04-09
France,92839,2886,8078.0,518,16183.0,6838.0,224254.0,2020-04-09
Iran,58226,2483,3603.0,151,19736.0,4103.0,186000.0,2020-04-09
UK,47806,5903,4934.0,621,135.0,1559.0,195524.0,2020-04-09
